,Unnamed: 0,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,49,nouadhibou,20.931,-17.0347,73.38,73,0,19.57,MR,1661729828
50,50,tupik,54.4253,119.9327,56.44,88,77,3.18,RU,1661729831
51,51,teshie,5.5836,-0.1072,75.76,94,75,4.61,GH,1661729833
52,52,tuatapere,-46.1333,167.6833,54.7,58,4,1.52,NZ,1661729836
53,53,nioro,13.35,-15.75,74.91,96,100,5.06,GM,1661729838
54,54,kodiak,57.79,-152.4072,56.71,82,100,4.61,US,1661729840
55,55,cape town,-33.9258,18.4232,50.92,79,20,3.44,ZA,1661729617
56,56,hami,42.8,93.45,70.38,23,2,11.16,CN,1661729845
57,57,half moon bay,37.4636,-122.4286,83.03,67,100,17.27,US,1661729680
58,58,payo,-3.7508,103.6372,72.55,96,100,1.16,ID,1661729849
59,59,kudahuvadhoo,2.6708,72.8944,78.55,84,100,14.92,MV,1661729852
60,60,kapaa,22.0752,-159.319,84.18,70,75,13.8,US,1661729854
61,61,grand island,40.925,-98.342,94.01,43,0,10.36,US,1661729792
62,62,kavieng,-2.5744,150.7967,84.9,70,29,17.47,PG,1661729859
63,63,hilo,19.7297,-155.09,88.29,60,20,9.22,US,1661729638
64,64,katobu,-4.9408,122.5276,79.14,81,29,6.22,ID,1661729865
65,65,grand gaube,-20.0064,57.6608,69.39,82,32,3.0,MU,1661729868
66,66,sebeta,8.9167,38.6167,57.24,82,21,0.98,ET,1661729870
67,67,dikson,73.5069,80.5464,39.83,96,100,18.59,RU,1661729872
68,68,egvekinot,66.3167,-179.1667,48.74,66,46,4.32,RU,1661729875
69,69,marystown,47.1666,-55.1483,59.54,87,0,10.13,CA,1661729877
70,70,mount isa,-20.7333,139.5,74.97,64,75,6.91,AU,1661729879
71,71,portland,45.5234,-122.6762,83.93,44,0,8.05,US,1661729799
72,72,atar,20.5169,-13.0499,96.22,22,2,6.73,MR,1661729884
73,73,georgetown,5.4112,100.3354,76.95,93,20,3.44,MY,1661729886
74,74,mar del plata,-38.0023,-57.5575,44.87,58,0,3.44,AR,1661729889
75,75,naze,28.3667,129.4833,81.52,78,99,5.88,JP,1661729891
76,76,bambous virieux,-20.3428,57.7575,69.22,84,41,11.59,MU,1661729893
77,77,hobart,-42.8794,147.3294,59.25,70,0,6.91,AU,1661729661
78,78,yeppoon,-23.1333,150.7333,68.56,79,96,15.03,AU,1661729898
79,79,manaus,-3.1019,-60.025,81.09,74,0,4.61,BR,1661729729
80,80,san julian,21.0167,-102.1667,67.57,68,64,5.55,MX,1661729905
81,81,saint anthony,45.0205,-93.218,82.15,76,0,9.22,US,1661729907
82,82,pisco,-13.7,-76.2167,60.85,82,100,5.75,PE,1661729910
83,83,castro,-24.7911,-50.0119,59.23,92,86,9.06,BR,1661729912
84,84,logan,41.7355,-111.8344,88.25,21,0,6.91,US,1661729799
85,85,quatre cocos,-20.2078,57.7625,69.1,84,45,11.14,MU,1661729916
86,86,orikhove,45.1294,33.6318,72.77,65,1,0.63,UA,1661729919
87,87,auki,-8.7676,160.7034,84.96,63,7,4.88,SB,1661729921
88,88,port alfred,-33.5906,26.891,54.18,90,37,5.01,ZA,1661729923
89,89,upernavik,72.7868,-56.1549,37.33,83,37,15.48,GL,1661729926
90,90,chokurdakh,70.6333,147.9167,53.17,53,98,9.57,RU,1661729788
91,91,penha,-26.7694,-48.6458,57.07,82,75,11.5,BR,1661729930
92,92,qasigiannguit,68.8193,-51.1922,44.85,72,3,5.44,GL,1661729933
93,93,sorong,-0.8833,131.25,78.8,83,98,4.36,ID,1661729718
94,94,barwadih,23.8333,84.1167,75.22,92,99,1.88,IN,1661729937
95,95,qaanaaq,77.484,-69.3632,29.26,72,79,0.78,GL,1661729940
96,96,port macquarie,-31.4333,152.9167,63.9,94,40,5.75,AU,1661729942
97,97,puerto ayora,-0.7393,-90.3518,68.56,89,93,7.0,EC,1661729945
98,98,orlik,52.5178,99.825,38.43,72,56,4.05,RU,1661729947
99,99,tiksi,71.6872,128.8694,46.29,67,14,7.09,RU,1661729952
100,100,okha,53.5739,142.9478,53.37,97,100,14.43,RU,1661729954
101,101,padang,-0.9492,100.3543,73.45,90,99,2.13,ID,1661729956
102,102,goderich,43.7501,-81.7165,81.91,61,48,9.22,CA,1661729959
103,103,albany,42.6001,-73.9662,78.64,69,74,1.99,US,1661729961
104,104,nanortalik,60.1432,-45.2371,40.98,93,100,5.66,GL,1661729966
105,105,coquimbo,-29.9533,-71.3436,55.13,94,75,8.05,CL,1661729968
106,106,semirom,31.4167,51.5667,53.67,15,0,3.11,IR,1661729970
107,107,povolzhskiy,53.5854,49.7629,67.59,40,88,3.62,RU,1661729973
108,108,guerrero negro,27.9769,-114.0611,74.17,70,8,18.28,MX,1661729975
109,109,san patricio,28.017,-97.5169,91.29,64,6,14.25,US,1661729977
110,110,rio grande,-32.035,-52.0986,46.51,62,30,14.83,BR,1661729980
111,111,tuktoyaktuk,69.4541,-133.0374,44.6,93,100,11.5,CA,1661729982
112,112,prince george,53.9166,-122.753,65.64,74,0,13.8,CA,1661729985
113,113,zhoucheng,35.9122,116.3117,63.21,92,100,5.21,CN,1661729987
114,114,olinda,-8.0089,-34.8553,76.73,78,20,8.05,BR,1661729874
115,115,weihe,32.9952,105.3247,57.92,94,100,6.93,CN,1661729991
116,116,margate,51.3813,1.3862,63.9,76,100,4.0,GB,1661729994
117,117,mildura,-34.2,142.15,66.07,69,14,20.56,AU,1661729996
118,118,havelock,34.8791,-76.9013,82.36,85,20,4.61,US,1661729890
119,119,juybar,36.6412,52.9124,73.92,62,1,3.96,IR,1661730001
120,120,fare,-16.7,-151.0167,77.95,71,4,7.83,PF,1661730003
121,121,udachnyy,66.4167,112.4,43.45,86,100,17.02,RU,1661730006
122,122,george town,5.4112,100.3354,76.95,93,20,3.44,MY,1661730008
123,123,edson,53.5835,-116.4356,69.91,35,20,16.11,CA,1661730010
